,Place Name,Place ID,Latitude,Longitude,rating,Types,Vicinity
28,Rainbow family restaurant,ChIJheZeVn0FZTkRSfsJ8j-ikqQ,24.4074323,75.8352139,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","opposite shivalay, Bypass, Bhawani Mandi"
29,सीता राम रेस्टोरेंट,ChIJqS65U_EFZTkRV9wUnTcSiPk,24.4141893,75.8238554,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","श्री सीताराम पंजाबी अल्पाहार रेस्टोरेंट, Bhawani Mandi"
30,Shubham Kirana Store And Tea Stall,ChIJ4aC7ym0FZTkRZOWXkxY5PdA,24.4118876,75.8438912,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","CR6V+QH2, Bhawani Mandi"
31,Bajot dhani,ChIJdwOrmK0FZTkRvMZy45rGsdg,24.4068036,75.82929469999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",Bhawani Mandi
32,The la-eatos,ChIJGXSGPFgFZTkREYh5LkxDoI4,24.4054987,75.83263939999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",Bhawani Mandi Bypass Road
33,HOTEL KANHA RESIDENCY,ChIJXw0M8PYFZTkRKyA0EVptmNA,24.4160665,75.82095129999999,3.7,"['lodging', 'restaurant', 'food', 'health', 'point_of_interest', 'establishment']","Bhanpura - Bhawani Mandi Road, Bhawani Mandi"
34,Sagar Restaurant,ChIJH2nTO44FZTkRoSOQbTr4WdQ,24.4125406,75.8214629,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","CR7C+2H8, Bhawani Mandi"
35,HIGHWAY RASOI A CAFETERIA AND VEG FAMILY RESTAURANT,ChIJy7AERCEFZTkRji4kSqYUJ40,24.4107802,75.84699859999999,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Ramnagar, Jhalawar road, Bhawani Mandi"
36,pal hotel,ChIJJ4IyhPoFZTkR_qEBgG17FDU,24.4104351,75.8181463,3.8,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",R.TM. Coleney ke samne (pal dhabba Bhawanimandi(Raj
37,Pareek Restaurant,ChIJoTramk0FZTkRGJCWtYYbv_M,24.4054876,75.8214371,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","police station, opp. HP PETROL PUMP Nea, Bhawani Mandi"
38,Sanju online shop,ChIJ23M0BVAFZTkRLAIPEKkXcoc,24.4054876,75.8214371,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bhawani mandi, Kota"
39,Khatti imli,ChIJu96nYuMFZTkR_7vF-P0zHZU,24.4054876,75.8214371,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","near noon hospital, guru kripa restaurant, near noon hospital, Bhawani Mandi"
40,Tvs Showroom,ChIJ737TvFsFZTkRoty6hOGnVnQ,24.4054875,75.8214371,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","road, Bhawani Mandi"
41,Maaheshwari restaurant,ChIJrY4ded0FZTkRegHVjBECqQI,24.418801,75.8307595,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","CR9J+G8C, Bhawani Mandi"
